   Step   Time    Walltime(s) Profile
14500000  72.5000    35.4150   ████████████████████████████████████████████████
15000000  75.0000    36.6362   ████████████████████████████████████████████████
15500000  77.5000    37.8710   ████████████████████████████████████████████████
16000000  80.0000    39.0889   ████████████████████████████████████████████████
16500000  82.5000    40.3249   ████████████████████████████████████████████████
17000000  85.0000    41.5468   ████████████████████████████████████████████████
17500000  87.5000    42.7933   ████████████████████████████████████████████████
18000000  90.0000    44.0155   ████████████████████████████████████████████████
18500000  92.5000    45.2394   ████████████████████████████████████████████████
19000000  95.0000    46.4497   ████████████████████████████████████████████████
19500000  97.5000    47.6658   ████████████████████████████████████████████████
20000000 100.0000    48.8761   ████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0009   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
 500000   2.5000     1.3530   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▃▃▄▅▆▇▇████▇▇▆▅▄▃▃▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁
1000000   5.0000     2.6773   ▁▁▁▁▁▁▁▁▁▂▂▂▂▃▃▄▄▅▆▆▇▇██████▇▇▆▆▅▄▄▃▃▂▂▂▂▁▁▁▁▁▁▁▁▁
1500000   7.5000     4.0065   ▁▁▁▁▁▁▂▂▂▂▃▃▃▄▄▅▅▆▆▇▇████████▇▇▆▆▅▅▄▄▃▃▃▂▂▂▂▁▁▁▁▁▁
2000000  10.0000     5.3348   ▁▁▂▂▂▂▂▂▃▃▃▄▄▄▅▅▆▆▇▇▇████████▇▇▇▆▆▅▅▄▄▄▃▃▃▂▂▂▂▂▂▁▁
2500000  12.5000     6.6664   ▂▂▂▂▂▂▃▃▃▄▄▄▅▅▅▆▆▇▇▇█████████▇▇▇▇▆▆▅▅▅▄▄▄▃▃▃▂▂▂▂▂▂
3000000  15.0000     7.9900   ▂▂▂▃▃▃▃▃▄▄▄▅▅▅▆▆▆▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▃▂▂▂
3500000  17.5000     9.3236   ▃▃▃▃▃▃▄▄▄▄▅▅▅▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▅▅▅▄▄▄▄▃▃▃▃▃▃
4000000  20.0000    10.6483   ▃▃▃▄▄▄▄▄▅▅▅▅▆▆▆▇▇▇▇████████████▇▇▇▇▆▆▆▅▅▅▅▄▄▄▄▄▃▃▃
4500000  22.5000    11.9811   ▄▄▄▄▄▄▅▅▅▅▅▆▆▆▇▇▇▇▇████████████▇▇▇▇▇▆▆▆▅▅▅▅▅▄▄▄▄▄▄
5000000  25.0000    13.3064   ▄▄▄▅▅▅▅▅▅▆▆▆▆▆▇▇▇▇▇████████████▇▇▇▇▇▆▆▆▆▆▅▅▅▅▅▅▄▄▄
5500000  27.5000    14.6371   ▅▅▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇██████████████▇▇▇▇▇▆▆▆▆▆▅▅▅▅▅▅▅▅
6000000  30.0000    15.9616   ▅▅▅▅▅▆▆▆▆▆▆▆▇▇▇▇▇▇██████████████▇▇▇▇▇▇▆▆▆▆▆▆▆▅▅▅▅▅
6500000  32.5000    17.2863   ▆▆▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆▆▆
7000000  35.0000    18.6060   ▆▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇█████████████████▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆▆
7500000  37.5000    19.9342   ▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇▇██████████████████▇▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆
8000000  40.0000    21.2546   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇▇████████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆▆
8500000  42.5000    22.5846   ▇▇▇▇▇▇▇▇▇▇▇▇▇▇██████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇▇
9000000  45.0000    23.9083   ▇▇▇▇▇▇▇▇▇▇▇▇▇████████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
9500000  47.5000    25.2399   ▇▇▇▇▇▇▇▇▇▇▇▇██████████████████████████▇▇▇▇▇▇▇▇▇▇▇▇
10000000  50.0000    26.5646   ▇▇▇▇▇▇▇▇▇▇▇████████████████████████████▇▇▇▇▇▇▇▇▇▇▇
10500000  52.5000    27.8922   ▇▇▇▇▇▇▇▇▇████████████████████████████████▇▇▇▇▇▇▇▇▇
11000000  55.0000    29.2153   ▇▇▇▇▇▇▇████████████████████████████████████▇▇▇▇▇▇▇
11500000  57.5000    30.5466   ▇▇▇████████████████████████████████████████████▇▇▇
12000000  60.0000    31.8701   ██████████████████████████████████████████████████
12500000  62.5000    33.2017   ██████████████████████████████████████████████████
13000000  65.0000    34.5231   ██████████████████████████████████████████████████
13500000  67.5000    35.8531   ██████████████████████████████████████████████████
14000000  70.0000    37.1736   ██████████████████████████████████████████████████
14500000  72.5000    38.5017   ██████████████████████████████████████████████████
15000000  75.0000    39.8226   ██████████████████████████████████████████████████
15500000  77.5000    41.1497   ██████████████████████████████████████████████████
16000000  80.0000    42.4754   ██████████████████████████████████████████████████
16500000  82.5000    43.8040   ██████████████████████████████████████████████████
17000000  85.0000    45.1281   ██████████████████████████████████████████████████
17500000  87.5000    46.4577   ██████████████████████████████████████████████████
18000000  90.0000    47.7785   ██████████████████████████████████████████████████
18500000  92.5000    49.1086   ██████████████████████████████████████████████████
19000000  95.0000    50.4308   ██████████████████████████████████████████████████
19500000  97.5000    51.7611   ██████████████████████████████████████████████████
20000000 100.0000    53.0844   ██████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0008   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
 500000   2.5000     1.2890   ▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▂▃▄▅▆▇▇████▇▇▆▅▄▃▂▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁
